model,data_sample,file_name,original_mse,compression_ratio,transformed_mse,training_time,lr,in_features,hidden_features,hidden_layers,out_features,device,max_iters,zero_fraction,refresh_interval,outermost_linear
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,6204.561816275519,22.721758502896183,0.09760209918022156,6.113227128982544,0.001,3,128,3,1,cuda,1000,0.5,1000,False
SIREN,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,7921.354986351656,22.721758502896183,0.11655841767787933,6.178442716598511,0.001,3,128,3,1,cuda,1000,0.5,1000,False
SIREN,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,5619.49620487157,22.721758502896183,0.0943528339266777,6.134317636489868,0.001,3,128,3,1,cuda,1000,0.5,1000,False
SIREN,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,6957.830551372155,22.721758502896183,0.09958410263061523,6.112709045410156,0.001,3,128,3,1,cuda,1000,0.5,1000,False
SIREN,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,8616.994060878933,22.721758502896183,0.13816432654857635,6.147526502609253,0.001,3,128,3,1,cuda,1000,0.5,1000,False
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,436.5680338541667,22.721758502896183,0.007229946553707123,10.180076599121094,0.001,3,128,3,1,cuda,1000,1.0,1,True
SIREN,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,514.0064306705991,22.721758502896183,0.008249142207205296,10.21258807182312,0.001,3,128,3,1,cuda,1000,1.0,1,True
SIREN,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,445.27750062751005,22.721758502896183,0.007710911333560944,10.17866039276123,0.001,3,128,3,1,cuda,1000,1.0,1,True
SIREN,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,407.8255404430221,22.721758502896183,0.007431560195982456,10.278326749801636,0.001,3,128,3,1,cuda,1000,1.0,1,True
SIREN,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,361.4375640583166,22.721758502896183,0.007146892603486776,10.195192575454712,0.001,3,128,3,1,cuda,1000,1.0,1,True
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,3363.5409698690596,22.721758502896183,0.04880461469292641,10.237544059753418,0.001,3,128,3,1,cuda,1000,1.0,1,False
SIREN,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,2894.6147153719044,22.721758502896183,0.04938175529241562,10.198884010314941,0.001,3,128,3,1,cuda,1000,1.0,1,False
SIREN,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,4534.04046916834,22.721758502896183,0.10714074969291687,10.242541551589966,0.001,3,128,3,1,cuda,1000,1.0,1,False
SIREN,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,3917.794319203899,22.721758502896183,0.0593617744743824,10.290477275848389,0.001,3,128,3,1,cuda,1000,1.0,1,False
SIREN,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,3240.817121349983,22.721758502896183,0.044011738151311874,10.205271244049072,0.001,3,128,3,1,cuda,1000,1.0,1,False
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,440.18085100819945,22.721758502896183,0.007201153784990311,11.44064474105835,0.001,3,128,3,1,cuda,1000,1.0,10,True
SIREN,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,516.5397096197289,22.721758502896183,0.008329889737069607,11.400590896606445,0.001,3,128,3,1,cuda,1000,1.0,10,True
