model,data_sample,file_name,original_mse,compression_ratio,transformed_mse,training_time,lr,hidden_features,hidden_layers,max_iters,fourier_features,scale,original_psnr
FFNet,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1327.547920850067,181.0480473372781,0.0238612778484821,1.328397512435913,0.001,32,3,500,32,10,28.96701341887313
FFNet,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1142.1459078501507,181.0480473372781,0.0218531843274831,1.3310282230377195,0.001,32,3,500,32,10,29.62029960683456
FFNet,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1088.9606603497325,181.0480473372781,0.0216961186379194,1.3655056953430176,0.001,32,3,500,32,10,29.827393579935304
FFNet,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1599.292773960425,181.0480473372781,0.0267878100275993,1.331775426864624,0.001,32,3,500,32,20,28.158235737785773
FFNet,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1809.9197166269244,181.0480473372781,0.0285256914794445,1.329784631729126,0.001,32,3,500,32,20,27.620922376543703
FFNet,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1498.424202016399,181.0480473372781,0.0263296384364366,1.4781005382537842,0.001,32,3,500,32,20,28.441167697727803
FFNet,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1431.963248828648,181.0480473372781,0.0267566721886396,1.329411268234253,0.001,32,3,500,32,20,28.63819676769929
FFNet,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1348.4171542942604,181.0480473372781,0.0266201086342334,1.330639362335205,0.001,32,3,500,32,20,28.89927279875179
FFNet,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1089.6003924552376,121.93974175035868,0.0189113412052392,1.6020987033843994,0.001,32,3,500,64,10,29.824842977729823
FFNet,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1437.312638575134,121.93974175035868,0.0233456287533044,1.6263282299041748,0.001,32,3,500,64,10,28.622003043349665
FFNet,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1150.491276303129,121.93974175035868,0.0178633220493793,1.6166925430297852,0.001,32,3,500,64,10,29.5886821882438
FFNet,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,954.1162671519412,121.93974175035868,0.0182007495313882,1.6413161754608154,0.001,32,3,500,64,10,30.40150248375555
FFNet,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,996.6868254267068,121.93974175035868,0.0201843027025461,1.6084680557250977,0.001,32,3,500,64,10,30.21192831132513
FFNet,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1247.910228152192,121.93974175035868,0.021831614896655,1.602616310119629,0.001,32,3,500,64,20,29.235682044626984
FFNet,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1981.1862423652944,121.93974175035868,0.0257982965558767,1.6064980030059814,0.001,32,3,500,64,20,27.228262452479
